date,rain_mm,number,expver,temp_c,spatial_ref,spei
2017-05-01,104.61834,0,0001,28.966675,0,-0.43573654
2017-06-01,173.55875,0,0001,27.202698,0,-0.13957372
2017-07-01,147.44948,0,0001,26.194,0,-0.28883964
2017-08-01,164.67067,0,0001,25.648773,0,-0.40302432
2017-09-01,108.01015,0,0001,26.28775,0,-0.79050606
2017-10-01,64.77627,0,0001,27.764435,0,-0.75457805
2017-11-01,23.6353,0,0001,27.943695,0,-0.68021905
2017-12-01,9.536433,0,0001,27.580536,0,-0.6752903
2018-01-01,2.2577972,0,0001,27.171844,0,-0.67142004
2018-02-01,21.631186,0,0001,29.901855,0,-0.5154504
2018-03-01,41.008045,0,0001,30.245026,0,-0.2903876
2018-04-01,43.606926,0,0001,30.15741,0,-0.47842503
2018-05-01,94.99336,0,0001,28.807526,0,-0.5834121
2018-06-01,121.1792,0,0001,27.309387,0,-1.0084999
2018-07-01,170.98077,0,0001,26.064789,0,-0.8907955
